id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,status_frente,observacao_frente,arquivo_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,frente,municipio_conflitante_sem_cadastro
F006,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,com_producao,,consolidado_2026_03_03.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,producao_parcial,Atividades paralisadas no período da manhã devido à chuva. Serviço executado após fechamento da rede.,mensagem_web_20260311_191839.txt,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,sem_producao,"Atividades interrompidas devido à tempestade, impossibilitando abertura de valas e execução dos serviços.",mensagem_web_20260311_191839.txt,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F004,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,com_producao,,mensagem_web_20260311_191839.txt,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,com_producao,,mensagem_web_20260311_200659.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,producao_parcial,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,mensagem_web_20260311_200659.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,com_producao,,mensagem_web_20260311_202851.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,producao_parcial,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,mensagem_web_20260311_202851.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,com_producao,,mensagem_web_20260311_204052.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,producao_parcial,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,mensagem_web_20260311_204052.txt,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_214832.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidney,Rua Rio Tocantins,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F003,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela Mississipi,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Barueri,Viela 1 / Viela 7,Barueri,Mississipi,Barueri,cadastrado,,
F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Barueri,Mississipi — Esgoto,Barueri,Mississipi,Barueri,cadastrado,,
F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_223741.txt,27/02/2026,Barueri,Mississipi — Caixa UMA,Barueri,Mississipi,Barueri,cadastrado,,
F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidney,Rua Rio Tocantins,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F003,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela Mississipi,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,
F004,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Xavier,Viela 1 / Viela 7,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,
F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,
F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Jandira,Cerejas,Carapicuíba,Cerejas,Jandira,cadastrado,,
F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,com_producao,,mensagem_web_20260311_224554.txt,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,
F001,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,producao_parcial,"📌 Obs: Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",consolidado_2026_03_03.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",producao_parcial,"⚠️ Obs: Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",consolidado_2026_03_03.txt,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,
F003,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Viela 2,producao_parcial,⚠️ Obs: Produtividade impactada pela espera da mangueira do compressor.,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 7,com_producao,,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F005,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela 6 / Viela 7,com_producao,,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F006,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,com_producao,,consolidado_2026_03_03.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,10/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_081616.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Ãgua Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_081616.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F003,10/03/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. do Alemão / Tv. do Bala / Tv. da Bete,producao_parcial,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,mensagem_web_20260316_081616.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Ãgua Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,mensagem_web_20260316_081616.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_084210.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_084210.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. do Alemão / Tv. do Bala / Tv. da Bete,producao_parcial,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,mensagem_web_20260316_084210.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,mensagem_web_20260316_084210.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_085227.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_085227.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. do Alemão / Tv. do Bala / Tv. da Bete,producao_parcial,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,mensagem_web_20260316_085227.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,mensagem_web_20260316_085227.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_092439.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_092439.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. do Alemão / Tv. do Bala / Tv. da Bete,producao_parcial,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,mensagem_web_20260316_092439.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,mensagem_web_20260316_092439.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_093444.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_093444.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. do Alemão / Tv. do Bala / Tv. da Bete,producao_parcial,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,mensagem_web_20260316_093444.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,mensagem_web_20260316_093444.txt,10/03/2026,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_110742.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_110742.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,com_producao,,mensagem_web_20260316_110742.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_113210.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_113210.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,com_producao,,mensagem_web_20260316_113210.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,producao_parcial,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",mensagem_web_20260316_131741.txt,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,producao_parcial,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,mensagem_web_20260316_131741.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F004,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,com_producao,,mensagem_web_20260316_131741.txt,10/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F001,11/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Quatro,com_producao,,mensagem_web_20260316_132655.txt,11/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,11/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Rua Dezesseis / Tv. Haitiana / Travessa da Bete / Travessa Haitiana,producao_parcial,⚠️ Obs: Produção afetada pela chuva. Equipe atuando também na resolução de pendências.,mensagem_web_20260316_132655.txt,11/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F003,11/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Rua Dezesseis / Tv. Haitiana / Travessa da Bete / Travessa Haitiana,com_producao,,mensagem_web_20260316_132655.txt,11/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F005,11/03/2026,Oeste 1,Água Legal,Lucrécia Borges,Gedeon,Rua Lucrécia Borges,com_producao,,mensagem_web_20260316_132655.txt,11/03/2026,Barueri,Lucrécia Borges,Barueri,,,nao_cadastrado,,
F001,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,producao_parcial,⚠️ Obs: Serviço executado para evitar infiltração em imóveis próximos. Atividades interrompidas posteriormente devido à tempestade ⛈️.,mensagem_web_20260316_132823.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,paralisada,⚠️ Obs: Não foi possível dar continuidade ao prolongamento da rede devido às chuvas intensas.,mensagem_web_20260316_132823.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,com_producao,,mensagem_web_20260316_132823.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
